사용일자,in_final,out_final,net_in_out_final,pre_week,next_week,week,weekend&public holiday
2023-01-11,24855.75144,26545.46908,-1689.7176399999994,-478.7288699999997,-1698.7432899999985,2,0
2023-01-12,24659.7534,26233.475319999998,-1573.7219199999984,-922.7206599999994,-1144.7658099999994,3,0
2023-01-13,24969.7503,26440.47118,-1470.7208799999996,-1127.7196299999982,-1675.72176,4,0
2023-01-16,24164.75835,24986.50026,-821.7419099999997,-1333.7217299999995,-1858.707869999999,0,0
2023-01-17,23509.764900000002,24325.51348,-815.7485799999995,-1592.7042399999987,-909.73805,1,0
2023-01-18,24274.75725,25162.49674,-887.7394899999997,-898.7367799999989,-933.7380899999996,2,0
2023-01-19,23288.76711,23839.5232,-550.7560899999999,-1235.7286399999994,-1259.75917,3,0
2023-01-20,22272.77727,23971.52056,-1698.7432899999985,-1689.7176399999994,-1668.7612199999992,4,0
2023-01-25,21128.78871,22273.55452,-1144.7658099999994,-1573.7219199999984,-1376.8024899999998,2,0
2023-01-26,24471.75528,26147.47704,-1675.72176,-1470.7208799999996,-1092.7480800000003,3,0
2023-01-27,25494.74505,27353.45292,-1858.707869999999,-821.7419099999997,-1093.76597,4,0
2023-01-30,24374.756250000002,25284.4943,-909.73805,-815.7485799999995,-1779.78573,0,0
2023-01-31,24322.75677,25256.49486,-933.7380899999996,-887.7394899999997,-1360.7848099999999,1,0
2023-02-01,24885.502279999997,26145.261449999998,-1259.75917,-550.7560899999999,-1858.8351499999999,2,0
2023-02-02,24817.50364,26486.26486,-1668.7612199999992,-1698.7432899999985,-1155.7710599999991,3,0
2023-02-03,26290.474179999997,27667.27667,-1376.8024899999998,-1144.7658099999994,-1392.7987200000007,4,0
2023-02-06,24571.50856,25664.25664,-1092.7480800000003,-1675.72176,-1220.8100500000003,0,0
2023-02-07,25167.49664,26261.262609999998,-1093.76597,-1858.707869999999,-1523.8095699999994,1,0
2023-02-08,25597.48804,27377.27377,-1779.78573,-909.73805,-2013.8616900000006,2,0
2023-02-09,25706.48586,27067.270669999998,-1360.7848099999999,-933.7380899999996,-1141.8117499999985,3,0
2023-02-10,27218.45562,29077.29077,-1858.8351499999999,-1259.75917,-1480.8272300000008,4,0
2023-02-13,25316.49366,26472.26472,-1155.7710599999991,-1668.7612199999992,-1258.8660500000003,0,0
2023-02-14,26159.4768,27552.27552,-1392.7987200000007,-1376.8024899999998,-2424.8854799999995,1,0
2023-02-15,26594.4681,27815.27815,-1220.8100500000003,-1092.7480800000003,-2204.9513500000003,2,0
