,yearmonthdatetime,승차총승객수,monthtime,datetime,in,ratio,time,평일,토요일,일요일,base
0,202409300000,35114,202409,2024090000,61.80064,0.00176,00,11.05,0.0,0.0,32757.0
1,202409300100,35114,202409,2024090100,0.35114,1e-05,01,,,,
2,202409300200,35114,202409,2024090200,0.0,0.0,02,,,,
3,202409300300,35114,202409,2024090300,0.0,0.0,03,,,,
4,202409300400,35114,202409,2024090400,1.05342,3e-05,04,,,,
5,202409300500,35114,202409,2024090500,60.39608,0.00172,05,5.7,5.05,2.55,32757.0
6,202409300600,35114,202409,2024090600,140.456,0.004,06,15.4,12.45,7.85,32757.0
7,202409300700,35114,202409,2024090700,303.38496,0.00864,07,23.15,14.35,10.7,32757.0
8,202409300800,35114,202409,2024090800,625.0292,0.0178,08,40.5,29.35,19.85,32757.0
9,202409300900,35114,202409,2024090900,1089.2362799999999,0.03102,09,32.65,38.45,24.9,32757.0
10,202409301000,35114,202409,2024091000,1278.50074,0.03641,10,33.849999999999994,43.25,31.0,32757.0
11,202409301100,35114,202409,2024091100,1489.1847400000001,0.04241,11,30.0,44.75,34.5,32757.0
12,202409301200,35114,202409,2024091200,1553.7945,0.04425,12,38.099999999999994,46.35,32.25,32757.0
13,202409301300,35114,202409,2024091300,1675.2889400000001,0.04771,13,39.349999999999994,45.8,38.25,32757.0
14,202409301400,35114,202409,2024091400,2070.32144,0.05896,14,41.8,49.1,33.9,32757.0
15,202409301500,35114,202409,2024091500,2587.1995199999997,0.07368,15,48.05,52.9,36.8,32757.0
16,202409301600,35114,202409,2024091600,3020.1551400000003,0.08601,16,53.599999999999994,57.5,38.1,32757.0
17,202409301700,35114,202409,2024091700,3352.6847199999997,0.09548,17,73.94999999999999,57.65,35.85,32757.0
18,202409301800,35114,202409,2024091800,4389.25,0.125,18,76.35,54.05,41.75,32757.0
19,202409301900,35114,202409,2024091900,2874.43204,0.08186,19,44.85,48.8,41.6,32757.0
20,202409302000,35114,202409,2024092000,2581.93242,0.07353,20,33.5,46.1,39.15,32757.0
21,202409302100,35114,202409,2024092100,2581.58128,0.07352,21,30.75,44.2,35.95,32757.0
22,202409302200,35114,202409,2024092200,2393.72138,0.06817,22,42.75,39.2,29.6,32757.0
23,202409302300,35114,202409,2024092300,984.59656,0.02804,23,27.85,38.55,27.9,32757.0
24,202409290000,30053,202409,2024090000,52.893280000000004,0.00176,00,11.05,0.0,0.0,32757.0
25,202409290100,30053,202409,2024090100,0.30053,1e-05,01,,,,
26,202409290200,30053,202409,2024090200,0.0,0.0,02,,,,
27,202409290300,30053,202409,2024090300,0.0,0.0,03,,,,
28,202409290400,30053,202409,2024090400,0.90159,3e-05,04,,,,
29,202409290500,30053,202409,2024090500,51.691159999999996,0.00172,05,5.7,5.05,2.55,32757.0
30,202409290600,30053,202409,2024090600,120.212,0.004,06,15.4,12.45,7.85,32757.0
31,202409290700,30053,202409,2024090700,259.65792,0.00864,07,23.15,14.35,10.7,32757.0
32,202409290800,30053,202409,2024090800,534.9434,0.0178,08,40.5,29.35,19.85,32757.0
33,202409290900,30053,202409,2024090900,932.24406,0.03102,09,32.65,38.45,24.9,32757.0
34,202409291000,30053,202409,2024091000,1094.22973,0.03641,10,33.849999999999994,43.25,31.0,32757.0
35,202409291100,30053,202409,2024091100,1274.54773,0.04241,11,30.0,44.75,34.5,32757.0
36,202409291200,30053,202409,2024091200,1329.8452499999999,0.04425,12,38.099999999999994,46.35,32.25,32757.0
37,202409291300,30053,202409,2024091300,1433.82863,0.04771,13,39.349999999999994,45.8,38.25,32757.0
38,202409291400,30053,202409,2024091400,1771.92488,0.05896,14,41.8,49.1,33.9,32757.0
39,202409291500,30053,202409,2024091500,2214.3050399999997,0.07368,15,48.05,52.9,36.8,32757.0
40,202409291600,30053,202409,2024091600,2584.85853,0.08601,16,53.599999999999994,57.5,38.1,32757.0
41,202409291700,30053,202409,2024091700,2869.46044,0.09548,17,73.94999999999999,57.65,35.85,32757.0
42,202409291800,30053,202409,2024091800,3756.625,0.125,18,76.35,54.05,41.75,32757.0
43,202409291900,30053,202409,2024091900,2460.1385800000003,0.08186,19,44.85,48.8,41.6,32757.0
44,202409292000,30053,202409,2024092000,2209.79709,0.07353,20,33.5,46.1,39.15,32757.0
45,202409292100,30053,202409,2024092100,2209.49656,0.07352,21,30.75,44.2,35.95,32757.0
46,202409292200,30053,202409,2024092200,2048.71301,0.06817,22,42.75,39.2,29.6,32757.0
47,202409292300,30053,202409,2024092300,842.68612,0.02804,23,27.85,38.55,27.9,32757.0
48,202409280000,35516,202409,2024090000,62.508160000000004,0.00176,00,11.05,0.0,0.0,32757.0
49,202409280100,35516,202409,2024090100,0.35516000000000003,1e-05,01,,,,
50,202409280200,35516,202409,2024090200,0.0,0.0,02,,,,
51,202409280300,35516,202409,2024090300,0.0,0.0,03,,,,
52,202409280400,35516,202409,2024090400,1.06548,3e-05,04,,,,
53,202409280500,35516,202409,2024090500,61.08752,0.00172,05,5.7,5.05,2.55,32757.0
54,202409280600,35516,202409,2024090600,142.064,0.004,06,15.4,12.45,7.85,32757.0
55,202409280700,35516,202409,2024090700,306.85824,0.00864,07,23.15,14.35,10.7,32757.0
56,202409280800,35516,202409,2024090800,632.1848,0.0178,08,40.5,29.35,19.85,32757.0
57,202409280900,35516,202409,2024090900,1101.70632,0.03102,09,32.65,38.45,24.9,32757.0
58,202409281000,35516,202409,2024091000,1293.13756,0.03641,10,33.849999999999994,43.25,31.0,32757.0
59,202409281100,35516,202409,2024091100,1506.2335600000001,0.04241,11,30.0,44.75,34.5,32757.0
60,202409281200,35516,202409,2024091200,1571.5829999999999,0.04425,12,38.099999999999994,46.35,32.25,32757.0
61,202409281300,35516,202409,2024091300,1694.46836,0.04771,13,39.349999999999994,45.8,38.25,32757.0
62,202409281400,35516,202409,2024091400,2094.02336,0.05896,14,41.8,49.1,33.9,32757.0
63,202409281500,35516,202409,2024091500,2616.81888,0.07368,15,48.05,52.9,36.8,32757.0
64,202409281600,35516,202409,2024091600,3054.7311600000003,0.08601,16,53.599999999999994,57.5,38.1,32757.0
65,202409281700,35516,202409,2024091700,3391.0676799999997,0.09548,17,73.94999999999999,57.65,35.85,32757.0
66,202409281800,35516,202409,2024091800,4439.5,0.125,18,76.35,54.05,41.75,32757.0
67,202409281900,35516,202409,2024091900,2907.3397600000003,0.08186,19,44.85,48.8,41.6,32757.0
68,202409282000,35516,202409,2024092000,2611.49148,0.07353,20,33.5,46.1,39.15,32757.0
69,202409282100,35516,202409,2024092100,2611.13632,0.07352,21,30.75,44.2,35.95,32757.0
70,202409282200,35516,202409,2024092200,2421.12572,0.06817,22,42.75,39.2,29.6,32757.0
71,202409282300,35516,202409,2024092300,995.8686399999999,0.02804,23,27.85,38.55,27.9,32757.0
72,202409270000,39380,202409,2024090000,69.3088,0.00176,00,11.05,0.0,0.0,32757.0
73,202409270100,39380,202409,2024090100,0.39380000000000004,1e-05,01,,,,
74,202409270200,39380,202409,2024090200,0.0,0.0,02,,,,
75,202409270300,39380,202409,2024090300,0.0,0.0,03,,,,
76,202409270400,39380,202409,2024090400,1.1814,3e-05,04,,,,
77,202409270500,39380,202409,2024090500,67.7336,0.00172,05,5.7,5.05,2.55,32757.0
78,202409270600,39380,202409,2024090600,157.52,0.004,06,15.4,12.45,7.85,32757.0
79,202409270700,39380,202409,2024090700,340.2432,0.00864,07,23.15,14.35,10.7,32757.0
80,202409270800,39380,202409,2024090800,700.9639999999999,0.0178,08,40.5,29.35,19.85,32757.0
81,202409270900,39380,202409,2024090900,1221.5675999999999,0.03102,09,32.65,38.45,24.9,32757.0
82,202409271000,39380,202409,2024091000,1433.8257999999998,0.03641,10,33.849999999999994,43.25,31.0,32757.0
83,202409271100,39380,202409,2024091100,1670.1058,0.04241,11,30.0,44.75,34.5,32757.0
84,202409271200,39380,202409,2024091200,1742.5649999999998,0.04425,12,38.099999999999994,46.35,32.25,32757.0
85,202409271300,39380,202409,2024091300,1878.8198,0.04771,13,39.349999999999994,45.8,38.25,32757.0
86,202409271400,39380,202409,2024091400,2321.8448,0.05896,14,41.8,49.1,33.9,32757.0
87,202409271500,39380,202409,2024091500,2901.5184,0.07368,15,48.05,52.9,36.8,32757.0
88,202409271600,39380,202409,2024091600,3387.0738,0.08601,16,53.599999999999994,57.5,38.1,32757.0
89,202409271700,39380,202409,2024091700,3760.0024,0.09548,17,73.94999999999999,57.65,35.85,32757.0
90,202409271800,39380,202409,2024091800,4922.5,0.125,18,76.35,54.05,41.75,32757.0
91,202409271900,39380,202409,2024091900,3223.6468,0.08186,19,44.85,48.8,41.6,32757.0
92,202409272000,39380,202409,2024092000,2895.6114,0.07353,20,33.5,46.1,39.15,32757.0
93,202409272100,39380,202409,2024092100,2895.2176,0.07352,21,30.75,44.2,35.95,32757.0
94,202409272200,39380,202409,2024092200,2684.5346,0.06817,22,42.75,39.2,29.6,32757.0
95,202409272300,39380,202409,2024092300,1104.2151999999999,0.02804,23,27.85,38.55,27.9,32757.0
96,202409260000,38155,202409,2024090000,67.1528,0.00176,00,11.05,0.0,0.0,32757.0
97,202409260100,38155,202409,2024090100,0.38155000000000006,1e-05,01,,,,
98,202409260200,38155,202409,2024090200,0.0,0.0,02,,,,
99,202409260300,38155,202409,2024090300,0.0,0.0,03,,,,
100,202409260400,38155,202409,2024090400,1.14465,3e-05,04,,,,
101,202409260500,38155,202409,2024090500,65.6266,0.00172,05,5.7,5.05,2.55,32757.0
