평일,토요일,일요일
11.4,10.1,5.1
16.0,15.0,8.6
14.8,9.9,7.1
21.0,12.7,11.6
25.3,16.0,9.8
41.4,28.7,19.5
39.6,30.0,20.2
26.8,39.0,24.1
38.5,37.9,25.7
33.3,42.7,29.4
34.4,43.8,32.6
28.9,42.4,35.7
31.1,47.1,33.3
35.9,44.1,32.1
40.3,48.6,32.4
39.8,44.6,36.6
38.9,47.0,39.9
42.7,47.2,31.9
40.9,51.0,35.9
44.2,47.9,33.2
51.9,57.9,40.4
40.1,53.4,35.6
67.1,61.6,40.6
73.3,59.4,36.5
74.6,55.9,35.2
85.2,57.6,45.3
67.5,50.5,38.2
51.6,52.6,44.0
38.1,45.0,39.2
36.6,46.7,39.0
30.4,45.5,39.3
33.0,46.1,38.0
28.5,42.3,33.9
39.4,41.0,30.0
46.1,37.4,29.2
31.1,40.8,30.9
24.6,36.3,24.9
13.3,0.0,0.0
8.8,0.0,0.0
