monthday,weekday_sat_sun
20240701,0
20240702,0
20240703,0
20240704,0
20240705,0
20240706,1
20240707,2
20240708,0
20240709,0
20240710,0
20240711,0
20240712,0
20240713,1
20240714,2
20240715,0
20240716,0
20240717,0
20240718,0
20240719,0
20240720,1
20240721,2
20240722,0
20240723,0
20240724,0
20240725,0
20240726,0
20240727,1
20240728,2
20240729,0
20240730,0
20240731,0
20240801,0
20240802,0
20240803,1
20240804,2
20240805,0
20240806,0
20240807,0
20240808,0
20240809,0
20240810,1
20240811,2
20240812,0
20240813,0
20240814,0
20240815,0
20240816,0
20240817,1
20240818,2
20240819,0
20240820,0
20240821,0
20240822,0
20240823,0
20240824,1
20240825,2
20240826,0
20240827,0
20240828,0
20240829,0
20240830,0
20240831,1
20240901,2
20240902,0
20240903,0
20240904,0
20240905,0
20240906,0
20240907,1
20240908,2
20240909,0
20240910,0
20240911,0
20240912,0
20240913,0
20240914,1
20240915,2
20240916,0
20240917,0
20240918,0
20240919,0
20240920,0
20240921,1
20240922,2
20240923,0
20240924,0
20240925,0
20240926,0
20240927,0
20240928,1
20240929,2
20240930,0
