사용일자,노선명,역명,승차총승객수,하차총승객수,승하차 차이,week,weekend&public holiday,time
2023-01-01,4호선,명동,21608,23356,-1748,6,1,00
2023-01-01,4호선,명동,21608,23356,-1748,6,1,01
2023-01-01,4호선,명동,21608,23356,-1748,6,1,02
2023-01-01,4호선,명동,21608,23356,-1748,6,1,03
2023-01-01,4호선,명동,21608,23356,-1748,6,1,04
2023-01-01,4호선,명동,21608,23356,-1748,6,1,05
2023-01-01,4호선,명동,21608,23356,-1748,6,1,06
2023-01-01,4호선,명동,21608,23356,-1748,6,1,07
2023-01-01,4호선,명동,21608,23356,-1748,6,1,08
2023-01-01,4호선,명동,21608,23356,-1748,6,1,09
2023-01-01,4호선,명동,21608,23356,-1748,6,1,10
2023-01-01,4호선,명동,21608,23356,-1748,6,1,11
2023-01-01,4호선,명동,21608,23356,-1748,6,1,12
2023-01-01,4호선,명동,21608,23356,-1748,6,1,13
2023-01-01,4호선,명동,21608,23356,-1748,6,1,14
2023-01-01,4호선,명동,21608,23356,-1748,6,1,15
2023-01-01,4호선,명동,21608,23356,-1748,6,1,16
2023-01-01,4호선,명동,21608,23356,-1748,6,1,17
2023-01-01,4호선,명동,21608,23356,-1748,6,1,18
2023-01-01,4호선,명동,21608,23356,-1748,6,1,19
2023-01-01,4호선,명동,21608,23356,-1748,6,1,20
2023-01-01,4호선,명동,21608,23356,-1748,6,1,21
2023-01-01,4호선,명동,21608,23356,-1748,6,1,22
2023-01-01,4호선,명동,21608,23356,-1748,6,1,23
2023-01-02,4호선,명동,26155,26634,-479,0,0,00
2023-01-02,4호선,명동,26155,26634,-479,0,0,01
2023-01-02,4호선,명동,26155,26634,-479,0,0,02
2023-01-02,4호선,명동,26155,26634,-479,0,0,03
2023-01-02,4호선,명동,26155,26634,-479,0,0,04
2023-01-02,4호선,명동,26155,26634,-479,0,0,05
2023-01-02,4호선,명동,26155,26634,-479,0,0,06
2023-01-02,4호선,명동,26155,26634,-479,0,0,07
2023-01-02,4호선,명동,26155,26634,-479,0,0,08
2023-01-02,4호선,명동,26155,26634,-479,0,0,09
2023-01-02,4호선,명동,26155,26634,-479,0,0,10
2023-01-02,4호선,명동,26155,26634,-479,0,0,11
2023-01-02,4호선,명동,26155,26634,-479,0,0,12
2023-01-02,4호선,명동,26155,26634,-479,0,0,13
2023-01-02,4호선,명동,26155,26634,-479,0,0,14
2023-01-02,4호선,명동,26155,26634,-479,0,0,15
2023-01-02,4호선,명동,26155,26634,-479,0,0,16
2023-01-02,4호선,명동,26155,26634,-479,0,0,17
2023-01-02,4호선,명동,26155,26634,-479,0,0,18
2023-01-02,4호선,명동,26155,26634,-479,0,0,19
2023-01-02,4호선,명동,26155,26634,-479,0,0,20
2023-01-02,4호선,명동,26155,26634,-479,0,0,21
2023-01-02,4호선,명동,26155,26634,-479,0,0,22
2023-01-02,4호선,명동,26155,26634,-479,0,0,23
2023-01-03,4호선,명동,26088,27011,-923,1,0,00
2023-01-03,4호선,명동,26088,27011,-923,1,0,01
2023-01-03,4호선,명동,26088,27011,-923,1,0,02
2023-01-03,4호선,명동,26088,27011,-923,1,0,03
2023-01-03,4호선,명동,26088,27011,-923,1,0,04
2023-01-03,4호선,명동,26088,27011,-923,1,0,05
2023-01-03,4호선,명동,26088,27011,-923,1,0,06
2023-01-03,4호선,명동,26088,27011,-923,1,0,07
2023-01-03,4호선,명동,26088,27011,-923,1,0,08
2023-01-03,4호선,명동,26088,27011,-923,1,0,09
2023-01-03,4호선,명동,26088,27011,-923,1,0,10
2023-01-03,4호선,명동,26088,27011,-923,1,0,11
2023-01-03,4호선,명동,26088,27011,-923,1,0,12
2023-01-03,4호선,명동,26088,27011,-923,1,0,13
2023-01-03,4호선,명동,26088,27011,-923,1,0,14
2023-01-03,4호선,명동,26088,27011,-923,1,0,15
2023-01-03,4호선,명동,26088,27011,-923,1,0,16
2023-01-03,4호선,명동,26088,27011,-923,1,0,17
2023-01-03,4호선,명동,26088,27011,-923,1,0,18
2023-01-03,4호선,명동,26088,27011,-923,1,0,19
2023-01-03,4호선,명동,26088,27011,-923,1,0,20
2023-01-03,4호선,명동,26088,27011,-923,1,0,21
2023-01-03,4호선,명동,26088,27011,-923,1,0,22
2023-01-03,4호선,명동,26088,27011,-923,1,0,23
2023-01-04,4호선,명동,25781,26909,-1128,2,0,00
2023-01-04,4호선,명동,25781,26909,-1128,2,0,01
2023-01-04,4호선,명동,25781,26909,-1128,2,0,02
2023-01-04,4호선,명동,25781,26909,-1128,2,0,03
2023-01-04,4호선,명동,25781,26909,-1128,2,0,04
2023-01-04,4호선,명동,25781,26909,-1128,2,0,05
2023-01-04,4호선,명동,25781,26909,-1128,2,0,06
2023-01-04,4호선,명동,25781,26909,-1128,2,0,07
2023-01-04,4호선,명동,25781,26909,-1128,2,0,08
2023-01-04,4호선,명동,25781,26909,-1128,2,0,09
2023-01-04,4호선,명동,25781,26909,-1128,2,0,10
2023-01-04,4호선,명동,25781,26909,-1128,2,0,11
2023-01-04,4호선,명동,25781,26909,-1128,2,0,12
2023-01-04,4호선,명동,25781,26909,-1128,2,0,13
2023-01-04,4호선,명동,25781,26909,-1128,2,0,14
2023-01-04,4호선,명동,25781,26909,-1128,2,0,15
2023-01-04,4호선,명동,25781,26909,-1128,2,0,16
2023-01-04,4호선,명동,25781,26909,-1128,2,0,17
2023-01-04,4호선,명동,25781,26909,-1128,2,0,18
2023-01-04,4호선,명동,25781,26909,-1128,2,0,19
2023-01-04,4호선,명동,25781,26909,-1128,2,0,20
2023-01-04,4호선,명동,25781,26909,-1128,2,0,21
2023-01-04,4호선,명동,25781,26909,-1128,2,0,22
2023-01-04,4호선,명동,25781,26909,-1128,2,0,23
2023-01-05,4호선,명동,25159,26493,-1334,3,0,00
2023-01-05,4호선,명동,25159,26493,-1334,3,0,01
2023-01-05,4호선,명동,25159,26493,-1334,3,0,02
2023-01-05,4호선,명동,25159,26493,-1334,3,0,03
2023-01-05,4호선,명동,25159,26493,-1334,3,0,04
2023-01-05,4호선,명동,25159,26493,-1334,3,0,05
2023-01-05,4호선,명동,25159,26493,-1334,3,0,06
2023-01-05,4호선,명동,25159,26493,-1334,3,0,07
2023-01-05,4호선,명동,25159,26493,-1334,3,0,08
2023-01-05,4호선,명동,25159,26493,-1334,3,0,09
2023-01-05,4호선,명동,25159,26493,-1334,3,0,10
2023-01-05,4호선,명동,25159,26493,-1334,3,0,11
2023-01-05,4호선,명동,25159,26493,-1334,3,0,12
2023-01-05,4호선,명동,25159,26493,-1334,3,0,13
2023-01-05,4호선,명동,25159,26493,-1334,3,0,14
2023-01-05,4호선,명동,25159,26493,-1334,3,0,15
2023-01-05,4호선,명동,25159,26493,-1334,3,0,16
2023-01-05,4호선,명동,25159,26493,-1334,3,0,17
2023-01-05,4호선,명동,25159,26493,-1334,3,0,18
2023-01-05,4호선,명동,25159,26493,-1334,3,0,19
2023-01-05,4호선,명동,25159,26493,-1334,3,0,20
2023-01-05,4호선,명동,25159,26493,-1334,3,0,21
2023-01-05,4호선,명동,25159,26493,-1334,3,0,22
2023-01-05,4호선,명동,25159,26493,-1334,3,0,23
2023-01-06,4호선,명동,26390,27983,-1593,4,0,00
2023-01-06,4호선,명동,26390,27983,-1593,4,0,01
2023-01-06,4호선,명동,26390,27983,-1593,4,0,02
2023-01-06,4호선,명동,26390,27983,-1593,4,0,03
2023-01-06,4호선,명동,26390,27983,-1593,4,0,04
2023-01-06,4호선,명동,26390,27983,-1593,4,0,05
2023-01-06,4호선,명동,26390,27983,-1593,4,0,06
2023-01-06,4호선,명동,26390,27983,-1593,4,0,07
2023-01-06,4호선,명동,26390,27983,-1593,4,0,08
2023-01-06,4호선,명동,26390,27983,-1593,4,0,09
2023-01-06,4호선,명동,26390,27983,-1593,4,0,10
2023-01-06,4호선,명동,26390,27983,-1593,4,0,11
2023-01-06,4호선,명동,26390,27983,-1593,4,0,12
2023-01-06,4호선,명동,26390,27983,-1593,4,0,13
2023-01-06,4호선,명동,26390,27983,-1593,4,0,14
2023-01-06,4호선,명동,26390,27983,-1593,4,0,15
2023-01-06,4호선,명동,26390,27983,-1593,4,0,16
2023-01-06,4호선,명동,26390,27983,-1593,4,0,17
2023-01-06,4호선,명동,26390,27983,-1593,4,0,18
2023-01-06,4호선,명동,26390,27983,-1593,4,0,19
2023-01-06,4호선,명동,26390,27983,-1593,4,0,20
2023-01-06,4호선,명동,26390,27983,-1593,4,0,21
2023-01-06,4호선,명동,26390,27983,-1593,4,0,22
2023-01-06,4호선,명동,26390,27983,-1593,4,0,23
2023-01-07,4호선,명동,21707,25064,-3357,5,1,00
2023-01-07,4호선,명동,21707,25064,-3357,5,1,01
2023-01-07,4호선,명동,21707,25064,-3357,5,1,02
2023-01-07,4호선,명동,21707,25064,-3357,5,1,03
2023-01-07,4호선,명동,21707,25064,-3357,5,1,04
2023-01-07,4호선,명동,21707,25064,-3357,5,1,05
2023-01-07,4호선,명동,21707,25064,-3357,5,1,06
2023-01-07,4호선,명동,21707,25064,-3357,5,1,07
2023-01-07,4호선,명동,21707,25064,-3357,5,1,08
2023-01-07,4호선,명동,21707,25064,-3357,5,1,09
2023-01-07,4호선,명동,21707,25064,-3357,5,1,10
2023-01-07,4호선,명동,21707,25064,-3357,5,1,11
2023-01-07,4호선,명동,21707,25064,-3357,5,1,12
2023-01-07,4호선,명동,21707,25064,-3357,5,1,13
2023-01-07,4호선,명동,21707,25064,-3357,5,1,14
2023-01-07,4호선,명동,21707,25064,-3357,5,1,15
2023-01-07,4호선,명동,21707,25064,-3357,5,1,16
2023-01-07,4호선,명동,21707,25064,-3357,5,1,17
2023-01-07,4호선,명동,21707,25064,-3357,5,1,18
2023-01-07,4호선,명동,21707,25064,-3357,5,1,19
2023-01-07,4호선,명동,21707,25064,-3357,5,1,20
2023-01-07,4호선,명동,21707,25064,-3357,5,1,21
2023-01-07,4호선,명동,21707,25064,-3357,5,1,22
2023-01-07,4호선,명동,21707,25064,-3357,5,1,23
2023-01-08,4호선,명동,18747,20461,-1714,6,1,00
2023-01-08,4호선,명동,18747,20461,-1714,6,1,01
2023-01-08,4호선,명동,18747,20461,-1714,6,1,02
2023-01-08,4호선,명동,18747,20461,-1714,6,1,03
2023-01-08,4호선,명동,18747,20461,-1714,6,1,04
2023-01-08,4호선,명동,18747,20461,-1714,6,1,05
2023-01-08,4호선,명동,18747,20461,-1714,6,1,06
2023-01-08,4호선,명동,18747,20461,-1714,6,1,07
2023-01-08,4호선,명동,18747,20461,-1714,6,1,08
2023-01-08,4호선,명동,18747,20461,-1714,6,1,09
2023-01-08,4호선,명동,18747,20461,-1714,6,1,10
2023-01-08,4호선,명동,18747,20461,-1714,6,1,11
2023-01-08,4호선,명동,18747,20461,-1714,6,1,12
2023-01-08,4호선,명동,18747,20461,-1714,6,1,13
2023-01-08,4호선,명동,18747,20461,-1714,6,1,14
2023-01-08,4호선,명동,18747,20461,-1714,6,1,15
2023-01-08,4호선,명동,18747,20461,-1714,6,1,16
2023-01-08,4호선,명동,18747,20461,-1714,6,1,17
2023-01-08,4호선,명동,18747,20461,-1714,6,1,18
2023-01-08,4호선,명동,18747,20461,-1714,6,1,19
2023-01-08,4호선,명동,18747,20461,-1714,6,1,20
2023-01-08,4호선,명동,18747,20461,-1714,6,1,21
2023-01-08,4호선,명동,18747,20461,-1714,6,1,22
2023-01-08,4호선,명동,18747,20461,-1714,6,1,23
2023-01-09,4호선,명동,24524,25423,-899,0,0,00
2023-01-09,4호선,명동,24524,25423,-899,0,0,01
2023-01-09,4호선,명동,24524,25423,-899,0,0,02
2023-01-09,4호선,명동,24524,25423,-899,0,0,03
2023-01-09,4호선,명동,24524,25423,-899,0,0,04
2023-01-09,4호선,명동,24524,25423,-899,0,0,05
2023-01-09,4호선,명동,24524,25423,-899,0,0,06
2023-01-09,4호선,명동,24524,25423,-899,0,0,07
2023-01-09,4호선,명동,24524,25423,-899,0,0,08
2023-01-09,4호선,명동,24524,25423,-899,0,0,09
2023-01-09,4호선,명동,24524,25423,-899,0,0,10
