in,ratio_in,datetime,year,month,time,out,ratio_out,in_CMR,ratio_in_CMR,in_HH,ratio_in_HH,Net_in_out,is_valid_datetime
44,4e-05,2024-11-04,2024,11,0,0,0.0,72,8e-05,26,3e-05,44,True
1892,0.00164,2024-11-05,2024,11,0,1466,0.00119,3510,0.00371,1519,0.00179,426,True
4132,0.00358,2024-11-06,2024,11,0,25061,0.02036,5864,0.00619,3503,0.00412,-20929,True
9020,0.00782,2024-11-07,2024,11,0,55355,0.04498,12941,0.01367,5712,0.00672,-46335,True
18160,0.01575,2024-11-08,2024,11,0,136749,0.11112,24046,0.02539,9978,0.01174,-118589,True
33474,0.02903,2024-11-09,2024,11,0,111025,0.09022,30903,0.03264,14943,0.01758,-77551,True
38825,0.03367,2024-11-10,2024,11,0,75688,0.0615,34068,0.03598,20566,0.02419,-36863,True
45264,0.03926,2024-11-11,2024,11,0,76171,0.0619,36457,0.0385,31615,0.03718,-30907,True
46133,0.04001,2024-11-12,2024,11,0,80314,0.06526,35320,0.0373,41003,0.04823,-34181,True
52010,0.04511,2024-11-13,2024,11,0,80742,0.06561,42008,0.04436,53121,0.06248,-28732,True
64364,0.05582,2024-11-14,2024,11,0,75651,0.06147,50735,0.05358,68197,0.08021,-11287,True
84257,0.07307,2024-11-15,2024,11,0,79333,0.06447,58434,0.06171,81107,0.09539,4924,True
100951,0.08755,2024-11-16,2024,11,0,83119,0.06754,73225,0.07733,98674,0.11605,17832,True
113090,0.09808,2024-11-17,2024,11,0,89809,0.07298,114697,0.12113,123597,0.14537,23281,True
153183,0.13285,2024-11-18,2024,11,0,85616,0.06957,162993,0.17213,130994,0.15407,67567,True
95980,0.08324,2024-11-19,2024,11,0,64149,0.05213,74975,0.07918,64014,0.07529,31831,True
92654,0.08036,2024-11-20,2024,11,0,46407,0.03771,59806,0.06316,58422,0.06871,46247,True
87307,0.07572,2024-11-21,2024,11,0,32244,0.0262,56421,0.05958,24412,0.02871,55063,True
78072,0.06771,2024-11-22,2024,11,0,18581,0.0151,42341,0.04471,13427,0.01579,59491,True
31939,0.0277,2024-11-23,2024,11,0,9904,0.00805,23661,0.02499,4828,0.00568,22035,True
2282,0.00198,1900-01-01,1900,1,0,3081,0.0025,4432,0.00468,576,0.00068,-799,True
0,0.0,2024-11-01,2024,11,0,142,0.00012,3,0.0,2,0.0,-142,True
0,0.0,2024-11-02,2024,11,0,0,0.0,0,0.0,0,0.0,0,True
0,0.0,2024-11-03,2024,11,0,0,0.0,0,0.0,0,0.0,0,True
33,3e-05,2024-10-04,2024,10,0,1,0.0,45,5e-05,19,2e-05,32,True
1978,0.0017,2024-10-05,2024,10,0,1898,0.00153,3748,0.00401,1585,0.00183,80,True
4503,0.00387,2024-10-06,2024,10,0,25187,0.02027,6317,0.00675,3690,0.00425,-20684,True
9685,0.00833,2024-10-07,2024,10,0,56227,0.04525,13401,0.01432,6055,0.00698,-46542,True
20322,0.01748,2024-10-08,2024,10,0,134490,0.10823,24481,0.02617,11047,0.01273,-114168,True
35152,0.03023,2024-10-09,2024,10,0,109065,0.08777,32066,0.03427,15688,0.01807,-73913,True
40779,0.03507,2024-10-10,2024,10,0,79254,0.06378,35482,0.03792,21558,0.02483,-38475,True
46342,0.03986,2024-10-11,2024,10,0,79957,0.06435,37140,0.0397,32856,0.03785,-33615,True
49198,0.04232,2024-10-12,2024,10,0,85120,0.0685,36817,0.03935,44443,0.0512,-35922,True
55026,0.04733,2024-10-13,2024,10,0,82588,0.06646,42926,0.04588,56801,0.06543,-27562,True
68443,0.05887,2024-10-14,2024,10,0,79700,0.06414,51321,0.05485,72304,0.08329,-11257,True
87035,0.07486,2024-10-15,2024,10,0,80317,0.06464,58519,0.06255,86383,0.09951,6718,True
101659,0.08744,2024-10-16,2024,10,0,83752,0.0674,71387,0.0763,104245,0.12009,17907,True
114737,0.09869,2024-10-17,2024,10,0,86561,0.06966,110775,0.1184,124252,0.14314,28176,True
151585,0.13038,2024-10-18,2024,10,0,81923,0.06593,157637,0.16849,127666,0.14707,69662,True
94526,0.0813,2024-10-19,2024,10,0,63539,0.05113,73339,0.07839,61827,0.07122,30987,True
86548,0.07444,2024-10-20,2024,10,0,47111,0.03791,57617,0.06158,56492,0.06508,39437,True
83737,0.07202,2024-10-21,2024,10,0,33475,0.02694,53673,0.05737,22882,0.02636,50262,True
77325,0.06651,2024-10-22,2024,10,0,19620,0.01579,41073,0.0439,13053,0.01504,57705,True
32130,0.02764,2024-10-23,2024,10,0,9844,0.00792,23460,0.02507,4613,0.00531,22286,True
1912,0.00164,1900-01-01,1900,1,0,2830,0.00228,4377,0.00468,601,0.00069,-918,True
0,0.0,2024-10-01,2024,10,0,124,0.0001,9,1e-05,1,0.0,-124,True
0,0.0,2024-10-02,2024,10,0,0,0.0,0,0.0,0,0.0,0,True
0,0.0,2024-10-03,2024,10,0,0,0.0,0,0.0,0,0.0,0,True
34,3e-05,2024-09-04,2024,9,0,8,1e-05,41,5e-05,14,2e-05,26,True
1757,0.00172,2024-09-05,2024,9,0,1459,0.00133,3330,0.004,1248,0.00178,298,True
4100,0.004,2024-09-06,2024,9,0,21821,0.01982,5541,0.00665,3188,0.00455,-17721,True
8848,0.00864,2024-09-07,2024,9,0,49745,0.04518,12136,0.01456,5235,0.00746,-40897,True
18235,0.0178,2024-09-08,2024,9,0,118703,0.1078,21168,0.0254,9032,0.01288,-100468,True
31778,0.03102,2024-09-09,2024,9,0,94977,0.08625,27902,0.03347,13124,0.01871,-63199,True
37295,0.03641,2024-09-10,2024,9,0,66380,0.06028,30924,0.0371,17866,0.02547,-29085,True
43447,0.04241,2024-09-11,2024,9,0,67519,0.06132,33137,0.03976,27671,0.03945,-24072,True
45331,0.04425,2024-09-12,2024,9,0,73706,0.06694,33148,0.03977,36231,0.05166,-28375,True
48868,0.04771,2024-09-13,2024,9,0,74012,0.06721,38487,0.04617,45432,0.06478,-25144,True
60392,0.05896,2024-09-14,2024,9,0,70021,0.06359,45458,0.05454,55010,0.07844,-9629,True
75480,0.07368,2024-09-15,2024,9,0,73077,0.06637,52800,0.06335,64275,0.09165,2403,True
88103,0.08601,2024-09-16,2024,9,0,72972,0.06627,63855,0.07661,76047,0.10843,15131,True
97802,0.09548,2024-09-17,2024,9,0,77300,0.0702,97914,0.11747,97924,0.13963,20502,True
128048,0.125,2024-09-18,2024,9,0,73135,0.06642,138258,0.16587,107078,0.15268,54913,True
83852,0.08186,2024-09-19,2024,9,0,57836,0.05252,65758,0.07889,53980,0.07697,26016,True
75322,0.07353,2024-09-20,2024,9,0,44965,0.04084,52018,0.06241,51533,0.07348,30357,True
75314,0.07352,2024-09-21,2024,9,0,30924,0.02808,48469,0.05815,19872,0.02833,44390,True
69832,0.06817,2024-09-22,2024,9,0,19202,0.01744,37589,0.0451,11745,0.01675,50630,True
28726,0.02804,2024-09-23,2024,9,0,10286,0.00934,21562,0.02587,4266,0.00608,18440,True
1801,0.00176,1900-01-01,1900,1,0,2971,0.0027,4014,0.00482,560,0.0008,-1170,True
6,1e-05,2024-09-01,2024,9,0,113,0.0001,21,3e-05,3,0.0,-107,True
0,0.0,2024-09-02,2024,9,0,0,0.0,0,0.0,0,0.0,0,True
0,0.0,2024-09-03,2024,9,0,0,0.0,0,0.0,0,0.0,0,True
27,3e-05,2024-08-04,2024,8,0,9,1e-05,46,6e-05,22,3e-05,18,True
1743,0.00174,2024-08-05,2024,8,0,1424,0.00132,3286,0.00403,1299,0.00178,319,True
3943,0.00394,2024-08-06,2024,8,0,23025,0.0213,5734,0.00704,3161,0.00433,-19082,True
8263,0.00826,2024-08-07,2024,8,0,51077,0.04725,12322,0.01513,5134,0.00703,-42814,True
16638,0.01662,2024-08-08,2024,8,0,121371,0.11227,21915,0.02691,9243,0.01266,-104733,True
32178,0.03215,2024-08-09,2024,8,0,85248,0.07886,27541,0.03382,13205,0.01808,-53070,True
39767,0.03973,2024-08-10,2024,8,0,62246,0.05758,32802,0.04028,19133,0.0262,-22479,True
44617,0.04458,2024-08-11,2024,8,0,64483,0.05965,35823,0.04399,29617,0.04056,-19866,True
44202,0.04416,2024-08-12,2024,8,0,68394,0.06327,33901,0.04163,38877,0.05324,-24192,True
47153,0.04711,2024-08-13,2024,8,0,71120,0.06579,36882,0.04529,46596,0.06381,-23967,True
54835,0.05479,2024-08-14,2024,8,0,68974,0.0638,40406,0.04961,54295,0.07436,-14139,True
66163,0.06611,2024-08-15,2024,8,0,69928,0.06469,45584,0.05597,63007,0.08629,-3765,True
81379,0.08131,2024-08-16,2024,8,0,72892,0.06743,58125,0.07137,77303,0.10587,8487,True
95986,0.0959,2024-08-17,2024,8,0,76403,0.07068,96940,0.11903,104674,0.14335,19583,True
135251,0.13514,2024-08-18,2024,8,0,71694,0.06632,145692,0.1789,119709,0.16395,63557,True
81266,0.0812,2024-08-19,2024,8,0,58224,0.05386,64301,0.07896,56628,0.07755,23042,True
74135,0.07407,2024-08-20,2024,8,0,46366,0.04289,49503,0.06078,53093,0.07271,27769,True
73585,0.07352,2024-08-21,2024,8,0,33445,0.03094,46328,0.05689,19569,0.0268,40140,True
68777,0.06872,2024-08-22,2024,8,0,20851,0.01929,35312,0.04336,11379,0.01558,47926,True
29031,0.02901,2024-08-23,2024,8,0,10738,0.00993,18736,0.02301,3765,0.00516,18293,True
1906,0.0019,1900-01-01,1900,1,0,3002,0.00278,3215,0.00395,466,0.00064,-1096,True
1,0.0,2024-08-01,2024,8,0,125,0.00012,4,0.0,0,0.0,-124,True
0,0.0,2024-08-02,2024,8,0,0,0.0,0,0.0,0,0.0,0,True
0,0.0,2024-08-03,2024,8,0,0,0.0,0,0.0,0,0.0,0,True
23,2e-05,2024-07-04,2024,7,0,2,0.0,69,8e-05,23,3e-05,21,True
1529,0.00155,2024-07-05,2024,7,0,1485,0.0014,3318,0.00385,1365,0.00171,44,True
3836,0.00388,2024-07-06,2024,7,0,24450,0.02299,5654,0.00656,3489,0.00437,-20614,True
8515,0.00861,2024-07-07,2024,7,0,56072,0.05271,12691,0.01472,5199,0.00652,-47557,True
15704,0.01589,2024-07-08,2024,7,0,131844,0.12395,22169,0.02572,9442,0.01184,-116140,True
28792,0.02913,2024-07-09,2024,7,0,91510,0.08603,26827,0.03112,13008,0.01631,-62718,True
36226,0.03665,2024-07-10,2024,7,0,63360,0.05957,31251,0.03625,19208,0.02408,-27134,True
42392,0.04289,2024-07-11,2024,7,0,63414,0.05962,35746,0.04147,30719,0.03852,-21022,True
43145,0.04365,2024-07-12,2024,7,0,66392,0.06242,35021,0.04063,40486,0.05076,-23247,True
46514,0.04706,2024-07-13,2024,7,0,69525,0.06536,39333,0.04563,50713,0.06358,-23011,True
53833,0.05446,2024-07-14,2024,7,0,66111,0.06215,43129,0.05003,60421,0.07576,-12278,True
65670,0.06644,2024-07-15,2024,7,0,65566,0.06164,47895,0.05556,70625,0.08855,104,True
80032,0.08096,2024-07-16,2024,7,0,68364,0.06427,59620,0.06916,86210,0.10809,11668,True
97823,0.09896,2024-07-17,2024,7,0,69439,0.06528,105001,0.12181,116736,0.14636,28384,True
142913,0.14458,2024-07-18,2024,7,0,66632,0.06264,162946,0.18903,132363,0.16596,76281,True
79890,0.08082,2024-07-19,2024,7,0,53054,0.04988,68112,0.07901,60791,0.07622,26836,True
73067,0.07392,2024-07-20,2024,7,0,42521,0.03997,52870,0.06133,56516,0.07086,30546,True
71583,0.07242,2024-07-21,2024,7,0,31576,0.02969,49566,0.0575,22051,0.02765,40007,True
67058,0.06784,2024-07-22,2024,7,0,18822,0.01769,37603,0.04362,12886,0.01616,48236,True
27904,0.02823,2024-07-23,2024,7,0,10481,0.00985,19538,0.02267,4772,0.00598,17423,True
2035,0.00206,1900-01-01,1900,1,0,2955,0.00278,3647,0.00423,555,0.0007,-920,True
0,0.0,2024-07-01,2024,7,0,120,0.00011,8,1e-05,2,0.0,-120,True
0,0.0,2024-07-02,2024,7,0,0,0.0,0,0.0,0,0.0,0,True
0,0.0,2024-07-03,2024,7,0,0,0.0,0,0.0,0,0.0,0,True
20,2e-05,2024-06-04,2024,6,0,3,0.0,89,0.00011,26,3e-05,17,True
1499,0.0015,2024-06-05,2024,6,0,1544,0.00144,3685,0.00437,1404,0.00179,-45,True
3927,0.00392,2024-06-06,2024,6,0,23290,0.02166,5861,0.00695,3190,0.00408,-19363,True
8507,0.0085,2024-06-07,2024,6,0,52620,0.04894,12370,0.01466,5196,0.00664,-44113,True
16480,0.01647,2024-06-08,2024,6,0,118536,0.11025,20768,0.02462,9212,0.01178,-102056,True
30131,0.03011,2024-06-09,2024,6,0,91908,0.08548,26920,0.03191,13023,0.01665,-61777,True
35987,0.03596,2024-06-10,2024,6,0,66778,0.06211,31619,0.03748,19352,0.02474,-30791,True
42214,0.04218,2024-06-11,2024,6,0,67872,0.06313,34857,0.04132,31893,0.04077,-25658,True
43896,0.04386,2024-06-12,2024,6,0,73655,0.0685,34907,0.04137,42726,0.05462,-29759,True
47947,0.04791,2024-06-13,2024,6,0,71267,0.06628,40361,0.04784,54361,0.06949,-23320,True
59188,0.05914,2024-06-14,2024,6,0,68065,0.06331,45276,0.05366,64787,0.08282,-8877,True
71865,0.07181,2024-06-15,2024,6,0,68734,0.06393,50908,0.06034,74210,0.09487,3131,True
85299,0.08523,2024-06-16,2024,6,0,70287,0.06537,61855,0.07332,86500,0.11058,15012,True
97555,0.09748,2024-06-17,2024,6,0,71161,0.06618,97214,0.11523,108496,0.1387,26394,True
131016,0.13091,2024-06-18,2024,6,0,67857,0.06311,143524,0.17012,116696,0.14918,63159,True
78532,0.07847,2024-06-19,2024,6,0,52093,0.04845,64606,0.07658,56153,0.07179,26439,True
73230,0.07317,2024-06-20,2024,6,0,42859,0.03986,52188,0.06186,55242,0.07062,30371,True
72596,0.07254,2024-06-21,2024,6,0,32846,0.03055,51359,0.06087,21979,0.0281,39750,True
68342,0.06829,2024-06-22,2024,6,0,20104,0.0187,39351,0.04664,12597,0.0161,48238,True
30651,0.03063,2024-06-23,2024,6,0,10489,0.00976,22113,0.02621,4743,0.00606,20162,True
1916,0.00191,1900-01-01,1900,1,0,3082,0.00287,3846,0.00456,452,0.00058,-1166,True
6,1e-05,2024-06-01,2024,6,0,140,0.00013,3,0.0,0,0.0,-134,True
0,0.0,2024-06-02,2024,6,0,0,0.0,0,0.0,0,0.0,0,True
0,0.0,2024-06-03,2024,6,0,0,0.0,0,0.0,0,0.0,0,True
25,2e-05,2024-05-04,2024,5,0,2,0.0,90,9e-05,21,3e-05,23,True
1669,0.00159,2024-05-05,2024,5,0,1376,0.00122,3893,0.00409,1459,0.00174,293,True
4278,0.00408,2024-05-06,2024,5,0,24021,0.02134,6503,0.00684,3475,0.00415,-19743,True
9063,0.00863,2024-05-07,2024,5,0,54871,0.04875,13282,0.01396,5559,0.00663,-45808,True
17401,0.01658,2024-05-08,2024,5,0,130121,0.11561,21746,0.02286,9691,0.01156,-112720,True
31184,0.02971,2024-05-09,2024,5,0,100673,0.08945,28935,0.03041,13380,0.01597,-69489,True
36791,0.03505,2024-05-10,2024,5,0,70421,0.06257,33735,0.03546,19783,0.02361,-33630,True
43720,0.04165,2024-05-11,2024,5,0,71385,0.06342,37754,0.03968,32797,0.03914,-27665,True
45464,0.04332,2024-05-12,2024,5,0,78250,0.06952,37812,0.03974,45002,0.0537,-32786,True
50153,0.04778,2024-05-13,2024,5,0,75936,0.06747,44558,0.04683,58785,0.07015,-25783,True
61962,0.05903,2024-05-14,2024,5,0,70488,0.06263,51385,0.05401,71877,0.08577,-8526,True
78709,0.07499,2024-05-15,2024,5,0,71163,0.06323,57977,0.06094,82412,0.09834,7546,True
94386,0.08993,2024-05-16,2024,5,0,71656,0.06367,70660,0.07427,92837,0.11078,22730,True
102821,0.09796,2024-05-17,2024,5,0,73943,0.0657,108449,0.11399,115929,0.13834,28878,True
138582,0.13203,2024-05-18,2024,5,0,68640,0.06099,157183,0.16522,125497,0.14975,69942,True
81188,0.07735,2024-05-19,2024,5,0,53659,0.04768,72686,0.0764,59891,0.07147,27529,True
74953,0.07141,2024-05-20,2024,5,0,42938,0.03815,60100,0.06317,58153,0.06939,32015,True
75003,0.07146,2024-05-21,2024,5,0,32794,0.02914,58247,0.06122,23003,0.02745,42209,True
69647,0.06636,2024-05-22,2024,5,0,19603,0.01742,49343,0.05186,12992,0.0155,50044,True
30478,0.02904,2024-05-23,2024,5,0,10290,0.00914,31122,0.03271,4887,0.00583,20188,True
2121,0.00202,1900-01-01,1900,1,0,3174,0.00282,5918,0.00622,594,0.00071,-1053,True
2,0.0,2024-05-01,2024,5,0,105,9e-05,6,1e-05,2,0.0,-103,True
0,0.0,2024-05-02,2024,5,0,0,0.0,0,0.0,0,0.0,0,True
0,0.0,2024-05-03,2024,5,0,0,0.0,0,0.0,0,0.0,0,True
40,4e-05,2024-04-04,2024,4,0,0,0.0,68,7e-05,32,4e-05,40,True
1611,0.00152,2024-04-05,2024,4,0,1267,0.00111,3603,0.00376,1448,0.00173,344,True
4085,0.00386,2024-04-06,2024,4,0,23403,0.02048,6315,0.00659,3338,0.00399,-19318,True
8648,0.00817,2024-04-07,2024,4,0,56939,0.04984,13543,0.01414,5490,0.00657,-48291,True
16814,0.01589,2024-04-08,2024,4,0,134948,0.11812,22488,0.02348,9540,0.01141,-118134,True
