,name,division,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,00:00,00:30
48,Shinchon,내선,23.7,27.6,32.5,52.3,73.9,114.3,90.1,61.8,42.9,35.2,50.2,37.9,38.6,43.9,39.6,42.5,40.0,37.9,35.5,39.4,32.5,43.0,46.7,43.1,40.1,48.7,41.3,29.4,24.4,20.6,23.4,33.9,30.5,44.9,33.5,37.5,25.8,14.3,5.2
49,Shinchon,외선,15.7,17.0,14.8,21.4,37.2,40.1,27.9,18.0,18.9,22.1,16.9,27.2,30.3,27.9,32.7,37.1,33.8,35.3,40.4,42.2,47.3,62.2,49.5,72.1,71.0,99.3,100.8,66.7,49.2,54.4,72.1,49.9,49.1,72.4,54.0,38.3,23.4,13.4,10.1
50,Hongdea,내선,23.2,29.1,33.4,52.9,76.6,118.7,88.4,63.8,47.1,38.8,50.7,43.5,38.8,44.8,44.0,42.4,41.9,38.2,35.1,36.7,32.0,40.4,44.7,41.4,39.6,48.2,42.3,30.4,23.7,18.6,22.9,30.9,26.7,38.0,30.4,34.1,23.9,13.0,5.8
51,Hongdea,외선,14.0,22.6,19.1,27.1,52.1,53.1,33.6,21.1,16.7,19.5,16.3,24.3,23.3,25.2,26.7,33.5,28.1,30.9,33.7,37.9,39.8,54.1,47.2,64.0,63.7,83.4,91.8,59.9,46.4,49.2,71.2,52.8,51.4,79.2,58.3,45.4,28.0,14.7,13.7
84,Gangnam,내선,22.9,14.9,18.9,26.5,35.9,45.0,42.8,33.8,28.0,28.6,29.9,29.3,39.4,40.7,46.2,44.4,49.5,50.0,55.3,73.0,71.0,92.8,85.5,121.7,118.4,135.4,112.5,88.2,70.3,62.4,67.9,75.4,102.7,92.2,61.1,48.3,23.2,23.2,11.2
85,Gangnam,외선,65.2,40.6,44.1,66.2,89.3,107.3,108.6,97.5,82.9,49.0,58.8,44.3,44.7,48.3,45.7,46.1,56.1,40.0,45.2,48.9,45.9,48.1,57.9,57.5,68.2,77.9,67.8,50.5,38.4,39.8,33.6,43.0,46.3,51.5,30.2,31.0,18.6,8.7,5.2
226,Myeongdong,상선,11.4,16.0,14.8,21.0,25.3,41.4,39.6,26.8,38.5,33.3,34.4,28.9,31.1,35.9,40.3,39.8,38.9,42.7,40.9,44.2,51.9,40.1,67.1,73.3,74.6,85.2,67.5,51.6,38.1,36.6,30.4,33.0,28.5,39.4,46.1,31.1,24.6,13.3,8.8
227,Myeongdong,하선,40.2,24.9,24.8,36.0,52.9,55.9,63.0,45.5,51.4,32.2,39.2,37.7,41.7,35.8,37.4,39.2,35.7,31.7,39.6,40.5,45.4,49.5,49.7,48.4,40.8,55.6,40.9,29.4,26.2,20.5,22.2,25.4,31.5,33.3,28.4,26.8,15.9,8.5,4.2
398,Itaewon,상선,8.9,11.6,13.6,22.7,31.8,44.7,36.7,33.3,33.2,23.7,18.6,17.9,18.9,21.2,21.7,22.5,22.3,21.2,21.5,28.2,30.2,31.3,38.5,36.0,42.4,53.1,45.3,38.6,32.2,26.9,26.6,24.5,28.3,34.1,28.0,18.1,12.4,12.9,3.2
399,Itaewon,하선,14.2,15.4,16.1,24.9,36.3,39.0,29.2,21.5,23.6,21.8,21.8,24.7,20.1,20.2,23.4,22.3,22.7,22.1,21.1,23.2,24.4,28.0,35.6,43.3,47.4,56.1,56.4,36.1,21.8,20.7,22.5,22.7,24.4,27.0,25.8,19.2,17.1,8.7,5.0
